Name,Date,Open,High,Low,Close,Adj Close,Volume
BTC,01-04-2023,28473.33203,31005.60742,27070.84961,29268.80664,29268.80664,5.1154E+11
BTC,01-05-2023,29227.10352,29820.12695,25878.42969,27219.6582,27219.6582,4.43473E+11
BTC,01-06-2023,27218.41211,31389.53906,24797.16797,30477.25195,30477.25195,4.81734E+11
BTC,01-07-2023,30471.84766,31814.51563,28934.29492,29230.11133,29230.11133,3.82224E+11
BTC,01-08-2023,29230.87305,30176.79688,25409.11133,25931.47266,25931.47266,4.37724E+11
BTC,01-09-2023,25934.02148,27488.76367,24930.29688,26967.91602,26967.91602,3.37637E+11
BTC,01-10-2023,26967.39648,35150.43359,26558.32031,34667.78125,34667.78125,4.76426E+11
BTC,01-11-2023,34657.27344,38415.33984,34133.44141,37712.74609,37712.74609,5.70863E+11
BTC,01-12-2023,37718.00781,44705.51563,37629.35938,42265.1875,42265.1875,7.21705E+11
BTC,01-01-2024,42280.23438,48969.37109,38521.89453,42582.60547,42582.60547,8.25919E+11
BTC,01-02-2024,42569.76172,63913.13281,41879.19141,61198.38281,61198.38281,8.30722E+11
BTC,01-03-2024,61168.0625,73750.07031,59323.91016,71396.59375,71396.59375,7.32117E+11
BTC,15-03-2024,71364.55469,72339.54688,66076.79688,67768.79688,67768.79688,86192996352
